"","word","rate_present","rate_absent","ratio_absent","ratio_present","consistency_present","consistency_absent","buttons_present","buttons_absent","entropy_present","entropy_absent","popularity","word_category","rate_norm","ratio_norm","consistency_norm","popularity_norm","buttons_norm","entropy_norm"
"1","play",7.16397052082241,6.55583807182482,0.189773706732557,0.202822273882774,0.683465778680208,0.679617763373959,14.1240310077519,12.4955357142857,1.47376255009597,1.29576660867387,129,"play",0.740561230669986,0.52625115611652,0.45776697862148,0.936507936507937,0.608840085901194,0.759357913408671
"2","treat",6.33208430749307,6.8412565470485,0.195468121376424,0.187866651448353,0.705305057386718,0.677655957993177,11.2093023255814,13.3516129032258,1.22952359945551,1.37780734838664,43,"treat",0.608715018795769,0.400108243560356,0.621309136073512,0.253968253968254,0.208647651356217,0.39520282386425
"3","food",6.49246072089808,6.82122707846291,0.196918374663251,0.178278316504208,0.75075115185543,0.670836566922141,10,13.5422077922078,1.29794879488757,1.36852810762839,45,"food",0.634133185658757,0.319235615107604,0.961629548531377,0.26984126984127,0.0426103646833013,0.49722333739953
"4","outside",5.79441291112891,7.40807744102059,0.20077073271625,0.1847219370238,0.668597282129804,0.6889057258969,10.5912408759124,14.6759259259259,1.31953242009154,1.38522925514089,137,"outside",0.523499113413682,0.373584209645356,0.34642511442355,1,0.123787774773386,0.529404064299292
"5","potty",6.4827951434491,6.80315932953791,0.19238296461219,0.220612487977652,0.755875108863052,0.674824651859544,11.4074074074074,13.2300613496933,1.50658196390237,1.34537802541627,27,"outside",0.632601281713475,0.67630237804097,1,0.126984126984127,0.235847491765598,0.808290962548163
"6","all done",7.35190064766998,6.70980504561152,0.196056364273689,0.181610068337433,0.647860723728717,0.684907017935289,16.972972972973,12.6360759493671,1.61409033970034,1.33528698653271,37,"all done",0.770346404320995,0.347337212483458,0.191140613290608,0.206349206349206,1,0.968583668166259
"7","toy",5.95442899661109,6.80722356360105,0.193470435699375,0.224997088790324,0.678096232318935,0.681127007793802,11.8333333333333,13.1348973607038,1.35146768743428,1.3595023956849,12,"toy",0.548860171659053,0.713284210079847,0.41755744568487,0.00793650793650794,0.294327148645767,0.577018869834295
"8","dad",6.68438689886228,6.78293043887661,0.191482307168877,0.258990382691187,0.706247611886578,0.679826417374862,15.1875,12.9910979228487,1.63516128485628,1.34483828065599,16,"parent",0.664551696169712,1,0.628367400153324,0.0396825396825397,0.754854446577095,1
"9","brush",8.8009044329978,6.71206010237246,0.195067418873592,0.178211489472916,0.646803993066328,0.682124621408725,10.6363636363636,13.1695906432749,1.25137362579909,1.36251184173325,11,"brush",1,0.318671963785061,0.183227347715526,0,0.129983132670273,0.42778074920675
"10","scritches",7.05172518872481,6.75093993239066,0.199936577913556,0.140429441522479,0.680998925084119,0.681026476145862,12.46875,13.1526479750779,1.1890940478344,1.3751783352277,32,"scritches",0.722771391626491,0,0.439294090178404,0.166666666666667,0.381569897632758,0.334923220827066
"11","water",6.42464241406778,6.81411370078134,0.192197409297904,0.218062976698233,0.697446003550248,0.679386891999706,10.125,13.386292834891,1.37508216682199,1.35759470338456,32,"water",0.623384616073124,0.654798573716482,0.562457072449049,0.166666666666667,0.0597728726807421,0.61222755720144
"12","walk",2.49138517185312,7.16084208768702,0.193889456691017,0.201834471416587,0.622335971023829,0.686276917548835,9.68965517241379,13.3950617283951,0.964460922145383,1.39163658175866,29,"outside",0,0.517919555030611,0,0.142857142857143,0,0
"13","ball",4.78885257921064,6.8812753471464,0.194146972060292,0.20235300157133,0.661407481091254,0.682016479961197,14.7647058823529,13.0059523809524,1.2020768726959,1.3668227262423,17,"toy",0.364127172335585,0.522293087744103,0.29258471111642,0.0476190476190476,0.696804787173987,0.354280337034704
"14","love you",5.26792386131035,6.87607286760071,0.193489600824657,0.211182674532602,0.670901861762396,0.68166423297742,14.5238095238095,13,1.45313906448043,1.35362755246714,21,"love you",0.440055505742842,0.59676679615291,0.363682823810343,0.0793650793650794,0.663729701733541,0.728608734248882
